Rubens,1982-01-24,(+57) 320-432-05-09,Bogotá,371449635398431,antonella@ antonella.com
Javier,1982-01-25,(+57) 320-432-05-10,Letícia,30569309025904,javier@javier.com
Pamela,1982-01-26,(+57) 320-432-05-11,Mocoa,6011111111111117,carolina@carolina.com
Mariana,1982-01-27,(+57) 320-432-05-12,Medellín,371449635398432,mariana@mariana.com
Lucio,1982-01-28,(+57) 320-432-05-13,Santa Marta,5555555555554444,luciana@luciana.com
Diogo,1982-01-29,(+57) 320-432-05-14,Barranquilla,4111111111111111,daniel@daniel.com
Cristian,1982-01-30,(+57) 320-432-05-15,Florencia,3530111333300000,cristian@cristian.com
Antonio,1982-01-31,(+57) 320-432-05-16,Armenia,5555555555554444,antonio@antonio.com
Oscar,1982-02-01,(+57) 320-432-05-17,Cartagena,4111111111111111,oscar@oscar.com
Suelen,1982-02-02,(+57) 320-432-05-18,Cali,5274 5763 9425 9961,valeria@valeria.com
